"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"0","6500","78741","90599","DebtCon","ProfExe","0","","","","","","29.1988606686699"
"0","6500","70300","107500","DebtCon","Office","1","0","0","242.466666666667","1","38",""
"0","6500","","70886","","","","","","","","","23.4708807497336"
"1","6500","183860","208910","DebtCon","ProfExe","4","6","0","86.4522269408275","6","29","69.8005247998426"
"1","6700","60301","70543","HomeImp","ProfExe","5","0","0","195.78086332421","0","19","32.3975934061862"
"0","6700","58741","68225","DebtCon","ProfExe","9","0","3","173.574416302675","1","31","23.5870132276728"
"1","6700","27510","42495","DebtCon","Other","2","0","2","171.526489223747","3","27","41.4285975079185"
"1","6700","","81239","HomeImp","Other","19","","","","","","40.8949317008373"
"0","6800","76074","88178","HomeImp","Other","22","0","0","341.465055555543","0","46","27.5232461434711"
"0","6800","56155","57912","HomeImp","Office","21","0","0","206.306321336737","0","20","21.7985130818088"
"0","6900","49000","68280","DebtCon","Other","1","0","0","61.9","8","22",""
"0","6900","49932","66042","HomeImp","Office","20","0","0","204.484582750111","0","19","21.8554941257255"
"0","6900","51384","84689","DebtCon","","4","0","0","224.247036903151","3","29","30.5261507227673"
"0","7000","46238","66842","DebtCon","Office","4","0","0","90.3804090830834","3","11","36.3095267897702"
"1","7000","18000","46520","HomeImp","Office","17","0","1","183.1","0","23",""
"0","7000","58843","75300","HomeImp","Other","1.5","0","0","103.666666666667","0","7",""
"0","7000","5768","26600","","","","","","","","",""
"1","7000","38800","53500","HomeImp","ProfExe","15","0","0","96.3666666666667","0","18",""
"0","7000","129959","161301","HomeImp","ProfExe","11","0","0","209.986299534674","0","18","21.917952264118"
"0","7000","58114","93391","HomeImp","ProfExe","6","0","0","200.077755069766","1","24","31.7365117864388"
"0","7100","54700","68500","DebtCon","","19","0","0","155.2","1","12",""
"0","7200","98691","115750","HomeImp","Office","22","0","0","118.000142317561","0","11","37.7203586097622"
"0","7200","","38061","HomeImp","Other","","","","299.752726117944","","12","31.8800331827859"
"1","7200","","76723","HomeImp","Other","10","0","0","70.1938901882609","0","11","41.2507062582395"
"0","7200","22832","31666","DebtCon","Other","0","0","0","38.0032668510165","9","7","28.2956811172681"
"1","7300","28500","42050","HomeImp","Other","3","","","","","",""
"0","7300","55456","86766","HomeImp","ProfExe","6","0","0","240.056771453578","2","23","31.724698501604"
"0","7300","49064","64225","DebtCon","Mgr","6","","4","106.375999330365","1","10","40.0519152312083"
"0","7400","75311","89905","DebtCon","ProfExe","0","","","","","","27.2019996122466"
"0","7400","48924","86612","DebtCon","","4","0","0","207.768414423433","4","30","29.9379178289966"
"0","7400","","54138","HomeImp","","1","0","0","","0","0","12.2196799606596"
"0","7400","56596","72861","HomeImp","Mgr","3","0","1","141.962149254744","0","23","28.3002456365015"
"0","7500","45864","57799","DebtCon","","7","","0","65.5711978601216","","16","33.8657453472846"
"0","7500","47518","60252","DebtCon","Other","16","0","3","220.624983867525","0","37","26.7115364732694"
"1","7500","32070","36811","DebtCon","Other","1","1","0","228.03600010501","0","6","30.1622141130791"
"0","7500","","49804","","","","","","","","","12.3912350370741"
"1","7500","80440","72920","HomeImp","Mgr","8","0","1","201.5","0","24",""
"1","7500","126000","151380","HomeImp","ProfExe","18","0","2","75.6666666666667","1","13",""
"0","7500","57213","92458","HomeImp","Office","28","0","0","243.157119173","1","16","23.9923533512709"
"0","7600","","40341","HomeImp","Other","3","0","0","265.020475356953","1","25","43.3001053119684"
"0","7700","56622","70136","DebtCon","Mgr","7","","4","120.764509196274","1","11","38.132345765914"
"0","7800","44000","57500","DebtCon","Other","11","0","0","95.3666666666667","0","23",""
"0","7800","42802","52422","HomeImp","Office","8","","","193.081452903204","","18","26.4958792920065"
"0","7800","55394","63567","DebtCon","Other","23","0","0","262.014357645615","2","29","38.9839384861821"
"0","7900","78532","122952","HomeImp","Office","29","0","0","332.645047382849","1","37","35.3115526276368"
"0","7900","41935","53543","DebtCon","Office","8","0","0","203.544609968911","1","22","31.4916867948378"
"0","8000","45557","56235","DebtCon","","7","","1","84.6911348817038","","16","36.5031607520129"
"1","8000","58000","73750","DebtCon","Mgr","22","0","4","221.433333333333","1","20",""
"1","8000","33689.3","48000","DebtCon","Other","3","0","0","103.733333333333","0","13",""
"1","8000","47306","68350","HomeImp","Other","9","0","0","82.6333333333333","0","20",""
"0","8000","70917","83500","DebtCon","Mgr","8","0","0","107.5","0","23",""
"0","8000","38758","46466.26","HomeImp","Mgr","21","1","1","229.3","1","18",""
"0","8000","76600","96000","DebtCon","Mgr","2","0","0","73.0333333333333","2","24",""
"0","8000","65000","93600","DebtCon","Other","16","","","140.066666666667","4","16",""
"0","8000","47154","65458","DebtCon","Office","2","0","0","99.9937898245245","3","12","38.8737113039073"
"0","8000","84282","121045","HomeImp","Office","28","0","0","330.174855636834","1","37","35.362686394431"
"0","8000","84730","123455","HomeImp","Other","9","","","","","","40.0326493342373"
"0","8100","48781","50434","HomeImp","Other","5","0","0","75.6350476840523","0","18","24.5451921372326"
"0","8100","78977","91995","DebtCon","Mgr","19","0","0","296.747094785341","1","23","38.8209402933209"
"0","8200","171456","246758","DebtCon","Sales","","0","0","138.154818167227","0","21","40.3378607575539"
"1","8200","47700","60000","DebtCon","Other","0.1","0","0","","0","0",""
"0","8200","76268","89166","HomeImp","Other","23","0","0","341.855347202787","1","46","29.8695766438402"
"0","8200","80989","105080","DebtCon","Mgr","1","0","0","81.35479529701","1","24","38.4757705002445"
"0","8200","48515","59240","DebtCon","Other","17","0","4","214.144509656219","0","36","27.4591442337488"
"0","8300","59761","75081","DebtCon","","17","0","0","147.94164245185","1","11","31.9592272352377"
"0","8300","44783","63424","HomeImp","Other","2","0","","97.9008362046973","","12","36.5878698006821"
"0","8400","39677","54707","DebtCon","Office","10","0","0","203.242965315575","1","23","31.2177097553283"
"0","8400","82597","83858","HomeImp","Other","25","0","0","350.568136170976","1","47","28.9107571404291"
"0","8400","43589","49950","DebtCon","Office","9","0","0","202.704540369239","0","23","33.5923189418168"
"0","8400","80490","93028","DebtCon","ProfExe","0","","","","","","29.4737614814536"
"1","8400","31800","72000","DebtCon","Self","","0","2","187.266666666667","1","21",""
"1","8400","37256","45956","DebtCon","Other","1","0","0","214.443230000608","1","6","31.245248509755"
"0","8500","61607","81126","HomeImp","Other","16","0","0","222.21119026472","1","35","34.729698093091"
"0","8500","73208","88588","DebtCon","Mgr","10","0","0","114.552582272473","0","23","30.0824889813748"
"0","8600","","54905","HomeImp","Other","8","0","0","308.650117433","2","13","32.5539761043871"
"1","8600","36933","42289","DebtCon","Mgr","4","0","0","100.616421129479","2","26","38.4364900846949"
"0","8600","45960","57473","DebtCon","Mgr","4","0","0","189.768060128538","0","22","26.7544115537472"
"1","8600","44992","66403","DebtCon","Other","8","0","0","172.551555040053","1","27","43.8756108211985"
"0","8600","66366","75957","DebtCon","ProfExe","8","0","0","72.9167210723817","2","25","39.6604087388098"
"0","8700","46489","63573","DebtCon","Mgr","4","0","0","196.249070000193","1","21","28.7879228543341"
"0","8700","53504","66888","DebtCon","Mgr","7","","3","112.175120756287","2","10","39.318772260737"
"0","8700","50711","87898","DebtCon","","4","0","0","209.521438497462","4","30","32.7430070767845"
"0","8700","58060","65605","DebtCon","Other","23","0","0","259.683813399092","3","29","39.8299994648248"
"1","8800","108608","","DebtCon","Mgr","0","0","6","253.47175859179","4","23",""
"0","8800","74562","89695","HomeImp","Other","24","0","0","338.776745809404","1","47","28.4397165113593"
"0","8800","101717","122299","HomeImp","Other","11","","","402.740481733842","1","49","38.4214275805519"
"0","8800","55990","89673","HomeImp","Other","18","0","0","184.625965939313","0","29","27.7016497392075"
"0","8900","63342","78275","DebtCon","","19","0","0","162.196484257943","1","11","32.6126627619577"
"0","8900","58503","74706","HomeImp","Other","6","0","0","243.935996251208","1","16","36.7932371688416"
"0","8900","","49147","HomeImp","Other","","","","110.50958053341","","8","37.1081420592862"
"1","8900","72581","90585","DebtCon","Office","18","1","1","207.966666666667","0","30",""
"0","8900","77261","96434","DebtCon","ProfExe","3","0","0","144.037003879934","0","26","33.9084658436749"
"0","9000","51091","68264","DebtCon","Other","22","0","0","277.755661904189","2","29","39.3873175485606"
"0","9000","93521","126024","HomeImp","Other","9","","","411.753081259427","1","49","41.6642810391701"
"1","9000","52311","68994","DebtCon","Office","0","0","1","137.784003633336","0","9","28.4547128575876"
"0","9000","56930","67557","DebtCon","Other","0","0","1","118.699516140377","2","18","36.6868820438426"
"1","9000","84532","104000","DebtCon","ProfExe","3","0","0","50.6666666666667","1","3",""
"0","9000","50866","73064","DebtCon","Mgr","5","","","118.570004972008","","23","40.1860615000762"
"0","9100","62976","77829","HomeImp","Mgr","0","0","2","131.193496032888","0","23","26.0904189127313"
"0","9200","71994","95525","DebtCon","Other","16","","","126.816439192727","3","16","25.6219304915154"
"0","9200","46707","60000","DebtCon","Mgr","4","0","0","192.8","2","17",""
"1","9200","64900","78000","DebtCon","Mgr","10","0","0","122.766666666667","2","24",""
"1","9200","70715","85000","DebtCon","Office","26","0","0","143.066666666667","2","23",""
"0","9200","72859","88183","DebtCon","Mgr","8","0","0","105.655205234973","0","23","29.0072077743556"
"0","9200","52531","66491","DebtCon","Mgr","11","0","0","122.228534264309","1","19","32.657628892808"
"0","9300","","57650","HomeImp","Other","11","1","0","308.339439701869","2","13","31.55383540902"
"0","9300","","36793","HomeImp","Other","","","","304.520189363791","","11","30.7388137637585"
"1","9300","78000","97700","DebtCon","Mgr","12","0","2","88.5","4","29",""
"0","9400","","50575","HomeImp","Other","","","","99.0695183202499","","8","35.9078153999419"
"0","9400","61213","70800","HomeImp","Other","5","0","0","75.8626597334408","3","20","39.4038123881555"
"0","9400","86539","95010","DebtCon","Other","0","4","0","","0","3","29.8153235881009"
"0","9400","56675","66976","HomeImp","Other","6","0","0","128.071647960334","0","33","35.0333711317896"
"0","9500","115186","131800","DebtCon","Self","7","0","0","177.050036053815","0","19","33.4305580396813"
"0","9500","55862","62965","DebtCon","Other","15","0","4","223.103914022822","0","36","26.1411780494876"
"0","9500","79479","88772","DebtCon","ProfExe","8","0","0","189.589074667558","0","12","37.9529899096969"
"1","9500","","40000","HomeImp","Other","10","0","0","36.5","1","1",""
"1","9600","42357","99756","HomeImp","Office","4","1","4","354.650224947891","0","30","36.5251729281876"
"0","9600","73000","99600","HomeImp","ProfExe","4.5","0","1","93.3333333333333","1","34",""
"0","9600","53196","63942","DebtCon","Other","16","0","4","227.563684019915","0","36","24.0167699412474"
"0","9600","56224","60260","DebtCon","Other","15","0","3","219.742045302658","0","36","25.439463542788"
"0","9600","","56900","","","","","","","","","14.4352387854295"
"0","9700","108000","210000","HomeImp","ProfExe","2.3","0","0","124.833333333333","1","15",""
"0","9700","39141","48905","DebtCon","Other","13","0","0","89.8359397397969","0","11","32.431409700304"
"0","9700","63488","74374","DebtCon","Office","5","0","0","106.589452268982","2","15","26.8960127711324"
"1","9700","47000","82000","HomeImp","Other","","1","2","96.6333333333333","","8",""
"0","9800","15021","31900","DebtCon","Other","6","0","0","276.73420174203","0","11","22.2912491854007"
"1","9800","36500","54000","HomeImp","Other","17","0","1","105.666666666667","5","19",""
"0","9800","49287","69831","DebtCon","Mgr","2","0","0","182.994806220873","2","16","29.7134669048868"
"0","9800","69919","100267","DebtCon","Other","16","","","130.886007403593","3","15","26.835043412603"
"0","9800","54681","74097","DebtCon","Other","2","0","1","106.888893743585","3","18","36.6186608621798"
"0","9800","","45197","HomeImp","Other","","","","316.525302802658","","11","29.6466659957062"
"0","9900","60488","75507","HomeImp","Other","3","0","0","239.433639973747","1","17","38.4730752737974"
"0","9900","35448","58056","DebtCon","Other","11","0","0","229.522844398483","1","31","37.2974320947879"
"0","9900","52800","66000","HomeImp","Other","29","1","3","188.933333333333","1","24",""
"0","10000","68807","76581","HomeImp","Office","14","0","0","237.647894104861","0","32","42.3355735122392"
"1","10000","26197","46600","HomeImp","ProfExe","9","0","0","165.966666666667","2","9",""
"0","10000","63005","78500","DebtCon","Other","3","","","171.766666666667","","35",""
"0","10000","124000","192000","HomeImp","Office","0","0","1","346.966666666667","0","16",""
"0","10000","22068","49600","HomeImp","Other","0.9","0","0","247.566666666667","0","11",""
"0","10000","64320","102375","DebtCon","Office","10","0","0","148.166666666667","1","13",""
"1","10000","84000","132965","DebtCon","Sales","30","0","0","325.633333333333","1","24",""
"1","10000","","","","Other","15","2","2","108.933333333333","3","31",""
"1","10000","91000","110000","DebtCon","Other","16","1","3","123.766666666667","2","22",""
"1","10000","66399","78000","","ProfExe","0.9","0","0","112.6","0","15",""
"0","10100","81263","98536","DebtCon","Mgr","1","0","0","73.1604477082967","1","23","38.3312557215482"
"1","10100","60200","74000","DebtCon","Other","4","","4","128.866666666667","5","24",""
"0","10100","68820","78830","DebtCon","Other","2","","","170.722452303912","","34","29.2067528317947"
"1","10200","52310","74117","DebtCon","Other","13","0","3","118.695785541918","2","23",""
"0","10200","60180","72370","DebtCon","Mgr","5","","","125.29486665445","","23","42.5046135425822"
"0","10200","8907","59814","HomeImp","Other","7","2","0","364.4309473822","1","22","16.0642453813433"
"0","10200","46140","56206","DebtCon","","8","1","0","115.780628171199","1","25","22.3137051465845"
"0","10300","61000","75000","DebtCon","Office","12","0","0","251.533333333333","4","37",""
"0","10300","50714","56088","DebtCon","Office","1","0","0","163.089148189935","1","21","37.9730553692547"
"0","10300","74624","96697","DebtCon","Office","7","0","0","217.23532123152","3","28","41.511300787605"
"0","10300","","51053","HomeImp","Other","10","1","0","306.992205433842","2","12","34.4838784148376"
"0","10300","44941","60694","DebtCon","Other","2","0","0","85.681205115623","0","20","39.5363978096034"
"0","10400","66044","83531","HomeImp","Office","12","0","0","241.514153224688","0","31","45.5698426521708"
"0","10400","45710","55299","DebtCon","Office","0","0","0","166.374150228336","0","20","34.5364117411135"
"0","10500","","53907","HomeImp","Other","10","0","0","308.213262185588","2","13","34.4089484193404"
"0","10500","63130","71387","DebtCon","Other","3","0","2","305.556928016463","0","10","32.1779166958797"
"1","10500","89000","268000","HomeImp","ProfExe","","4","","120.8","2","15",""
"0","10500","76729","102287","HomeImp","ProfExe","5","0","0","89.0626987725349","1","33","38.4476588628663"
"0","10500","74814","98132","HomeImp","ProfExe","8","0","0","164.33089809812","0","34","32.3751491023112"
"1","10500","55267","65160","DebtCon","Other","1","0","0","108.275423180167","8","22","47.0792853650168"
"0","10500","12630","32220","","","","","","","","","34.3458598861172"
"0","10600","39061","50225","DebtCon","Other","15","0","0","77.1142851082318","0","12","32.5874656518677"
"0","10600","44696","57686","DebtCon","Office","0","0","0","170.34097406134","0","20","37.7925550257287"
"0","10600","56814","66692","DebtCon","Mgr","10","0","0","107.374055193086","1","18","32.6256870411922"
"0","10600","43676","61576","DebtCon","Other","6","0","0","84.8391260528704","1","10","30.8681375006578"
"0","10600","46972","80147","HomeImp","Office","12","3","0","244.233530118368","2","29","32.6565312967433"
"0","10700","56197","79272","HomeImp","Other","18","0","0","218.981662174904","1","16","34.0153596047849"
"1","10800","35602","73077","DebtCon","Self","","0","1","179.896559981843","1","20","53.5848830078379"
"0","10800","70214","83882","DebtCon","Office","4","1","2","172.799300869708","3","30","38.5888235850673"
"0","10800","64181","70996","DebtCon","Other","4","0","0","171.759579046963","2","17","33.227793592642"
"1","10800","75000","87400","HomeImp","Other","7","1","0","101.466666666667","2","19",""
"1","10800","194485","228670","HomeImp","ProfExe","1","0","0","75.4581503556079","","4","28.3701308843028"
"0","10800","56477","94980","HomeImp","Other","17","0","0","179.917362631009","0","28","25.2107396549921"
"1","10800","24182","39750","DebtCon","ProfExe","2","0","0","176.833333333333","0","36",""
"0","10800","83441","92148","DebtCon","Mgr","5","0","0","119.14584403885","1","26","40.9786353218177"
"0","10900","57494","66704","DebtCon","Mgr","6","","","115.31274904629","","24","39.510985743376"
"0","10900","","76207","","","","","","","","","22.3926115967997"
"1","10900","","16365","HomeImp","Other","","0","0","59.5487026745946","1","2","24.1959036313677"
"0","10900","25061","35792","DebtCon","Other","3","","","","","","37.1047122397016"
"0","11000","88252","112567","DebtCon","Other","11","0","0","224.715576460884","2","15","39.5268523624758"
"0","11000","21780","85505","HomeImp","ProfExe","19","0","0","240.682581017363","0","10","24.40433511181"
"0","11000","56795","70014","DebtCon","Other","3","0","1","319.795771272606","0","10","33.5961708577937"
"1","11000","49000","66922","DebtCon","Other","11","0","2","91","3","32",""
"0","11000","15129","29375","DebtCon","Office","6","0","1","102.433333333333","0","17",""
"1","11000","122751","140000","DebtCon","Other","5","0","0","116.7","2","30",""
"0","11000","54641","65705","DebtCon","Other","5","0","0","323.192927628011","0","10","33.2996283938315"
"0","11000","43614","60831","DebtCon","Other","3","0","2","84.4447461449034","0","20","36.673648151608"
"0","11000","50178","64427","DebtCon","Other","5","0","0","67.6362890531347","1","11","28.689928356884"
"1","11000","49000","68000","HomeImp","Other","2","2","3","9.1","3","15",""
"0","11000","48893","113223","DebtCon","ProfExe","7","0","1","237.098081292752","0","9","22.0033764093152"
"0","11100","82849","113913","HomeImp","ProfExe","10","0","1","167.361029922445","0","27","35.7633334793678"
"0","11100","53232","86703","HomeImp","Other","16","0","0","183.206207474635","0","29","26.8748899701726"
"0","11200","29348","87351","HomeImp","ProfExe","20","0","0","224.394894576695","0","11","26.1296273035228"
"0","11200","23181","80140","HomeImp","ProfExe","21","0","0","221.418093398993","0","10","25.4626415269369"
"0","11300","64437","79857","DebtCon","Office","5","0","0","88.7891559667416","2","14","27.8992678892842"
"0","11400","59813","72873","DebtCon","ProfExe","13","0","0","234.330240485327","4","31","39.3514708505438"
"0","11400","","44849","HomeImp","Mgr","6","","","163.274594684538","","9","23.4811166391015"
"0","11400","28043","87684","HomeImp","ProfExe","20","1","1","229.177959241613","0","10","25.4899945119442"
"0","11400","64934","74875","DebtCon","Other","3","0","0","192.31448266863","2","16","34.3437557241105"
"0","11500","116430","215014","HomeImp","ProfExe","3","0","0","132.09363427583","0","14","26.8645684673984"
"0","11500","61264","75647","DebtCon","Office","11","0","0","262.890187885555","3","36","39.5478827017955"
"0","11500","29281","37717","HomeImp","Mgr","15","0","0","61.9154446546125","0","9","30.7024285460275"
"0","11600","82326","94599","DebtCon","Other","0","4","0","","0","3","29.8936214769974"
"0","11600","35865","50000","DebtCon","Other","","0","0","78.1333333333333","0","15",""
"0","11600","57436","72460","","Other","11","0","0","255.126030243925","0","27","28.9455317849878"
"0","11600","73079","101219","HomeImp","ProfExe","7","0","0","152.249874995669","0","33","34.2496207433984"
"0","11600","","36474","HomeImp","Other","","","1","93.7271380308915","0","10","37.2029535615272"
"0","11700","42151","58947","HomeImp","Other","22","0","0","122.030361830873","0","23","40.0831445308882"
"0","11700","47072","85090","HomeImp","Other","18","0","0","192.253182277377","0","16","35.0648646751255"
"1","11700","51600","72399","HomeImp","Other","15","0","1","125.36336996337","4","20",""
"1","11700","63914","93707","DebtCon","Other","7","3","0","162.579836951583","2","51","69.4806503918025"
"0","11800","57760","65535","DebtCon","Mgr","11","0","0","108.469400449613","1","18","32.7834835675934"
"0","11800","86785","125552","DebtCon","Office","11","0","0","148.176492408204","1","22","37.8844493271431"
"0","11800","","51246","HomeImp","Other","11","0","0","305.566715704149","2","13","32.5000590689015"
"0","11800","53596","69786","DebtCon","Mgr","5","","","126.787780675613","","24","41.0477548790154"
"1","11900","54867","79000","HomeImp","Mgr","1","0","0","182.6","2","23",""
"0","11900","44142","54299","HomeImp","Other","22","0","0","123.47114721855","0","22","37.1549023024621"
"0","11900","56443","86913","DebtCon","Office","12","0","0","119.859409671183","0","24","38.8616569685618"
"0","11900","85486","109386","HomeImp","ProfExe","11","0","1","175.542565462271","0","28","33.6709081785851"
"0","11900","71000","87000","DebtCon","Mgr","20","0","0","238.466666666667","11","24",""
"0","11900","85179","122788","HomeImp","Other","10","","","","","","39.4307306272866"
"1","11900","63833","","DebtCon","Other","3","","","","","","40.9327667811153"
"0","12000","84172","123415","DebtCon","Office","9","0","0","139.018449351974","1","21","38.5826698840701"
"0","12000","7804","65395","HomeImp","Other","8","2","0","347.123325818923","0","21","16.8163074863359"
"0","12000","35721","52938","HomeImp","Other","23","0","1","125.928071002577","0","22","38.6270249928567"
"0","12000","72786","84595","DebtCon","Office","4","2","2","198.769325075239","3","30","38.0902090258851"
"0","12000","96000","135000","HomeImp","ProfExe","14","0","0","126.8","5","22",""
"0","12000","150000","175065","DebtCon","ProfExe","7","","1","206.666666666667","4","26",""
"1","12000","36000","51900","DebtCon","Other","0.1","0","0","247.5","1","10",""
"1","12000","87917","","","Other","12.9","0","1","71","0","12",""
"1","12000","58730","80000","DebtCon","Office","10","","4","123.1","3","25",""
"1","12000","15231","42845.01","DebtCon","Office","6.5","0","1","65.9666666666667","2","18",""
"1","12000","42000","58000","DebtCon","Other","5","0","1","113.633333333333","1","18",""
"1","12100","29097","72647","DebtCon","Other","8","","","109.514879446025","1","22","45.3047605686983"
